artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
,Logged In,Jayden,M,2,Graves,,paid,"Marinette, WI-MI",PUT,Logout,1540664184796.0,128,,307,1541310709796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
,Logged Out,,,3,,,paid,,GET,Home,,128,,200,1541310732796,,
,Logged Out,,,4,,,paid,,PUT,Login,,128,,307,1541310733796,,
,Logged In,Jayden,M,5,Graves,,paid,"Marinette, WI-MI",GET,Home,1540664184796.0,128,,200,1541310741796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Vinylshakerz,Logged In,Jayden,M,6,Graves,207.25506,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Club Tropicana,200,1541310957796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Logged In,Jayden,M,7,Graves,277.15873,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),200,1541311164796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Son House,Logged In,Jayden,M,8,Graves,182.43873,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Depot Blues,200,1541311441796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Jason Mraz & Colbie Caillat,Logged In,Jayden,M,9,Graves,189.6224,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Lucky (Album Version),200,1541311623796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
The Romantics,Logged In,Jayden,M,10,Graves,233.7171,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Talking In Your Sleep,200,1541311812796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
The Postal Service,Logged In,Jayden,M,11,Graves,266.47465,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Such Great Heights,200,1541312045796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Tweet,Logged In,Jayden,M,12,Graves,281.80853,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Always Will (LP Version),200,1541312311796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Gang Starr/Inspectah Deck,Logged In,Jayden,M,13,Graves,225.07057,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Above The Clouds (Edited),200,1541312592796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Kanye West,Logged In,Jayden,M,14,Graves,164.38812,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Coldest Winter,200,1541312817796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Shunza,Logged In,Jayden,M,15,Graves,250.93179,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Nan Ni Wan,200,1541312981796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Erykah Badu,Logged In,Jayden,M,16,Graves,286.9024,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Back In The Day,200,1541313231796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
,Logged In,Jayden,M,17,Graves,,paid,"Marinette, WI-MI",GET,Home,1540664184796.0,128,,200,1541313291796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
,Logged In,Jayden,M,18,Graves,,paid,"Marinette, WI-MI",GET,Settings,1540664184796.0,128,,200,1541313291796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Mariza,Logged In,Maia,F,0,Burke,239.3073,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796.0,143,Vielas De Alfama,200,1541313299796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
,Logged In,Jayden,M,19,Graves,,paid,"Marinette, WI-MI",GET,Settings,1540664184796.0,128,,200,1541313325796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
,Logged In,Jayden,M,20,Graves,,paid,"Marinette, WI-MI",PUT,Save Settings,1540664184796.0,128,,307,1541313326796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
,Logged In,Jayden,M,21,Graves,,paid,"Marinette, WI-MI",GET,Home,1540664184796.0,128,,200,1541313397796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Asia 2001,Logged In,Jayden,M,22,Graves,150.30812,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Epilogue,200,1541313517796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Alejandro Sanz,Logged In,Maia,F,1,Burke,230.24281,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796.0,143,Non E_ Per Te_ Per Me,200,1541313538796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
The Casualties,Logged In,Jayden,M,23,Graves,131.23873,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Fight For Your Life,200,1541313667796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Alliance Ethnik,Logged In,Jayden,M,24,Graves,252.21179,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,ReprÃÂ©sente,200,1541313798796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Hey Monday,Logged In,Jayden,M,25,Graves,222.98077,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Run_ Don't Walk,200,1541314050796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Silverchair,Logged In,Jayden,M,26,Graves,213.13261,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,The Door,200,1541314272796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
El DeBarge,Logged In,Jayden,M,27,Graves,323.47383,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Love Always,200,1541314485796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Evanescence,Logged In,Jayden,M,28,Graves,236.12036,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Bring Me To Life,200,1541314808796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
,Logged In,Jayden,M,29,Graves,,paid,"Marinette, WI-MI",GET,Help,1540664184796.0,128,,200,1541314903796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Ludovico Einaudi,Logged In,Jayden,M,30,Graves,249.02485,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,The Snow Prelude No. 2,200,1541315044796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Caifanes,Logged In,Jayden,M,31,Graves,210.88608,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Ayer Me Dijo Un Ave,200,1541315293796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
The xx,Logged In,Jayden,M,32,Graves,188.55138,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Basic Space,200,1541315503796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Swizz Beatz,Logged In,Jayden,M,33,Graves,213.7073,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Big Munny,200,1541315691796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
OutKast,Logged In,Jayden,M,34,Graves,239.35955,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Ms. Jackson,200,1541315904796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
The Black Keys,Logged In,Jayden,M,35,Graves,300.30322,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,The Only One,200,1541316143796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Nappy Roots [featuring Anthony Hamilton],Logged In,Jayden,M,36,Graves,248.00608,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Po' Folks,200,1541316443796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Whitesnake,Logged In,Jayden,M,37,Graves,250.3571,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Fool For Your Loving,200,1541316691796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Foolish Things,Logged In,Jayden,M,38,Graves,266.86649,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Who Can Compare,200,1541316941796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Soda Stereo,Logged In,Jayden,M,39,Graves,317.6224,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,PrÃÂ³fugos,200,1541317207796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
Edward Sharpe & The Magnetic Zeros,Logged In,Jayden,M,40,Graves,306.31138,paid,"Marinette, WI-MI",PUT,NextSong,1540664184796.0,128,Home,200,1541317524796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",25
,Logged In,Ryan,M,0,Smith,,free,"San Jose-Sunnyvale-Santa Clara, CA",GET,Home,1541016707796.0,202,,200,1541318378796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",26
Anberlin,Logged In,Aleena,F,0,Kirby,258.42893,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Dismantle. Repair.,200,1541323143796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
,Logged In,Aleena,F,1,Kirby,,paid,"Waterloo-Cedar Falls, IA",GET,Help,1541022995796.0,196,,200,1541323169796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
L-7,Logged In,Aleena,F,2,Kirby,168.56771,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Shitlist,200,1541323401796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
,Logged In,Aleena,F,3,Kirby,,paid,"Waterloo-Cedar Falls, IA",GET,Home,1541022995796.0,196,,200,1541323418796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Future Of The Left,Logged In,Aleena,F,4,Kirby,112.63955,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Fingers Become Thumbs,200,1541323569796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Franz Ferdinand,Logged In,Aleena,F,5,Kirby,206.28853,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Call Me,200,1541323681796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Travie McCoy,Logged In,Aleena,F,6,Kirby,211.12118,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Billionaire [feat. Bruno Mars]  (Explicit Album Version),200,1541323887796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Lily Allen,Logged In,Aleena,F,7,Kirby,194.76853,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Smile,200,1541324098796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Rancid,Logged In,Aleena,F,8,Kirby,223.65995,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Fall Back Down (Album Version),200,1541324292796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Katy Perry,Logged In,Aleena,F,9,Kirby,228.49261,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,I'm Still Breathing,200,1541324515796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Freestylers,Logged In,Aleena,F,10,Kirby,340.06159,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Punks (Krafty Kuts Remix),200,1541324743796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
,Logged In,Rylan,M,0,George,,free,"Birmingham-Hoover, AL",GET,Home,1541020249796.0,15,,200,1541324956796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",16
Kid Rock,Logged In,Rylan,M,1,George,296.95955,free,"Birmingham-Hoover, AL",PUT,NextSong,1541020249796.0,15,All Summer Long (Album Version),200,1541325032796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",16
LITE,Logged In,Aleena,F,11,Kirby,248.08444,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,On A Gloomy Evening,200,1541325083796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
The Killers,Logged In,Rylan,M,2,George,220.89098,free,"Birmingham-Hoover, AL",PUT,NextSong,1541020249796.0,15,When You Were Young,200,1541325328796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",16
Hymie's Basement,Logged In,Aleena,F,12,Kirby,175.38567,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Ghost Dream,200,1541325331796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Pavement,Logged In,Aleena,F,13,Kirby,195.73506,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Rooftop Gambler,200,1541325506796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Trey Songz,Logged In,Rylan,M,3,George,205.81832,free,"Birmingham-Hoover, AL",PUT,NextSong,1541020249796.0,15,Can't Help But Wait (Album Version),200,1541325548796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",16
Shakira,Logged In,Aleena,F,14,Kirby,159.05914,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,La Pared,200,1541325701796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Billy J Kramer & The Dakotas,Logged In,Rylan,M,4,George,191.32036,free,"Birmingham-Hoover, AL",PUT,NextSong,1541020249796.0,15,Tennessee Waltz (Live),200,1541325753796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",16
Arctic Monkeys,Logged In,Aleena,F,15,Kirby,138.10893,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,D is for Dangerous,200,1541325860796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
,Logged In,Aleena,F,16,Kirby,,paid,"Waterloo-Cedar Falls, IA",GET,Settings,1541022995796.0,196,,200,1541325893796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
,Logged In,Aleena,F,17,Kirby,,paid,"Waterloo-Cedar Falls, IA",GET,Home,1541022995796.0,196,,200,1541325928796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Dashboard Confessional,Logged In,Rylan,M,5,George,224.54812,free,"Birmingham-Hoover, AL",PUT,NextSong,1541020249796.0,15,Ghost Of A Good Thing,200,1541325944796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",16
,Logged In,Rylan,M,6,George,,free,"Birmingham-Hoover, AL",GET,Home,1541020249796.0,15,,200,1541325951796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",16
Moby,Logged In,Aleena,F,18,Kirby,196.75383,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Lift Me Up,200,1541325998796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Dan Deacon,Logged In,Aleena,F,19,Kirby,483.89179,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Snookered,200,1541326194796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Puddle Of Mudd,Logged In,Aleena,F,20,Kirby,210.80771,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Psycho,200,1541326677796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Red Hot Chili Peppers,Logged In,Aleena,F,21,Kirby,334.65424,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Snow [Hey Oh] (Album Version),200,1541326887796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
The Barbarians,Logged In,Aleena,F,22,Kirby,149.44608,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Memphis_ Tennessee,200,1541327221796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Julia Fordham,Logged In,Aleena,F,23,Kirby,213.44608,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Jump (Live),200,1541327370796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Alicia Keys,Logged In,Aleena,F,24,Kirby,455.52281,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Streets Of New York (City Life),200,1541327583796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Regina Spektor,Logged In,Aleena,F,25,Kirby,247.69261,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Another Town,200,1541328038796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Deborah Harry & Iggy Pop,Logged In,Aleena,F,26,Kirby,207.49016,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Well Did You Evah!,200,1541328285796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Dr. Dre / Eminem / Alvin Joiner,Logged In,Aleena,F,27,Kirby,244.21832,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,What's The Difference,200,1541328492796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Marcel Woods,Logged In,Aleena,F,28,Kirby,424.33261,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Advanced (Ton T.B. Mix),200,1541328736796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
OneRepublic,Logged In,Aleena,F,29,Kirby,208.14322,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,Apologize,200,1541329160796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
Beastie Boys,Logged In,Aleena,F,30,Kirby,172.22485,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,The Maestro,200,1541329368796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
,Logged Out,,,0,,,paid,,GET,Home,,175,,200,1541329386796,,
,Logged In,Anabelle,F,0,Simpson,,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",GET,Home,1541044398796.0,217,,200,1541329492796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",69
Paramore,Logged In,Aleena,F,31,Kirby,267.65016,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541022995796.0,196,The Only Exception (Album Version),200,1541329540796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,44
